"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P08","Siempre",0.2,0.17,0.183,0.231,0.278,0.265
"P08","Casi siempre",0.32,0.398,0.322,0.354,0.364,0.235
"P08","Casi nunca",0.327,0.328,0.339,0.307,0.268,0.289
"P08","Nunca, pero esta es una excepción",0.153,0.104,0.156,0.108,0.09,0.211
"P10","De acuerdo",0.899,0.579,0.252,0.126,0.039,0.268
"P10","Ni de acuerdo ni en desacuerdo",0.05,0.324,0.303,0.136,0.115,0.13
"P10","En desacuerdo",0.029,0.047,0.278,0.488,0.741,0.112
"P10","No sabe",0.022,0.05,0.167,0.25,0.105,0.49
"P11","De acuerdo",0.842,0.726,0.449,0.275,0.149,0.389
"P11","Ni de acuerdo ni en desacuerdo",0.101,0.184,0.224,0.239,0.245,0.198
"P11","En desacuerdo",0.04,0.059,0.264,0.305,0.523,0.174
"P11","No sabe",0.017,0.031,0.063,0.181,0.083,0.239
"P12","De acuerdo",0.921,0.86,0.589,0.351,0.143,0.529
"P12","Ni de acuerdo ni en desacuerdo",0.035,0.098,0.168,0.228,0.291,0.207
"P12","En desacuerdo",0.032,0.029,0.178,0.275,0.454,0.166
"P12","No sabe",0.012,0.013,0.065,0.146,0.112,0.098
"P13","De acuerdo",0.856,0.648,0.304,0.116,0.064,0.31
"P13","Ni de acuerdo ni en desacuerdo",0.106,0.282,0.392,0.255,0.167,0.377
"P13","En desacuerdo",0.028,0.05,0.17,0.465,0.664,0.12
"P13","No sabe",0.01,0.02,0.134,0.164,0.105,0.193
"P14","De acuerdo",0.821,0.696,0.374,0.164,0.077,0.363
"P14","Ni de acuerdo ni en desacuerdo",0.134,0.232,0.365,0.201,0.149,0.231
"P14","En desacuerdo",0.03,0.062,0.17,0.501,0.721,0.24
"P14","No sabe",0.015,0.01,0.091,0.134,0.053,0.166
"P15","De acuerdo",0.758,0.627,0.408,0.287,0.188,0.518
"P15","Ni de acuerdo ni en desacuerdo",0.186,0.259,0.317,0.145,0.097,0.134
"P15","En desacuerdo",0.043,0.093,0.17,0.429,0.653,0.09
"P15","No sabe",0.013,0.021,0.105,0.139,0.062,0.258
"P16","De acuerdo",0.901,0.816,0.575,0.298,0.174,0.487
"P16","Ni de acuerdo ni en desacuerdo",0.054,0.103,0.218,0.184,0.127,0.159
"P16","En desacuerdo",0.034,0.06,0.1,0.381,0.631,0.074
"P16","No sabe",0.011,0.021,0.107,0.137,0.068,0.28
"P17","De acuerdo",0.77,0.58,0.223,0.067,0.044,0.305
"P17","Ni de acuerdo ni en desacuerdo",0.144,0.233,0.278,0.058,0.048,0.114
"P17","En desacuerdo",0.078,0.155,0.441,0.788,0.89,0.414
"P17","No sabe",0.008,0.032,0.058,0.087,0.018,0.167
"P18","De acuerdo",0.731,0.496,0.189,0.064,0.017,0.252
"P18","Ni de acuerdo ni en desacuerdo",0.177,0.34,0.303,0.084,0.038,0.061
"P18","En desacuerdo",0.07,0.105,0.396,0.733,0.931,0.497
"P18","No sabe",0.022,0.059,0.112,0.119,0.014,0.19
"P19","De acuerdo",0.867,0.758,0.322,0.124,0.028,0.413
"P19","Ni de acuerdo ni en desacuerdo",0.078,0.111,0.23,0.043,0.057,0.037
"P19","En desacuerdo",0.049,0.114,0.381,0.76,0.91,0.428
"P19","No sabe",0.006,0.017,0.067,0.073,0.005,0.122
"P20","De acuerdo",0.812,0.693,0.284,0.108,0.035,0.221
"P20","Ni de acuerdo ni en desacuerdo",0.113,0.194,0.288,0.116,0.065,0.286
"P20","En desacuerdo",0.068,0.071,0.328,0.689,0.893,0.291
"P20","No sabe",0.007,0.042,0.1,0.087,0.007,0.202
"P21","De acuerdo",0.849,0.694,0.33,0.125,0.03,0.465
"P21","Ni de acuerdo ni en desacuerdo",0.093,0.187,0.195,0.073,0.061,0.107
"P21","En desacuerdo",0.05,0.087,0.399,0.737,0.896,0.302
"P21","No sabe",0.008,0.032,0.076,0.065,0.013,0.126
"P22","Si",0.44,0.426,0.377,0.579,0.657,0.495
"P22","No",0.397,0.304,0.225,0.182,0.114,0.048
"P22","No sabe",0.163,0.27,0.398,0.239,0.229,0.457
"P23","Si",0.699,0.519,0.223,0.104,0.12,0.233
"P23","No",0.229,0.345,0.604,0.826,0.78,0.659
"P23","No sabe",0.072,0.136,0.173,0.07,0.1,0.108
"P24","Si",0.613,0.43,0.164,0.079,0.041,0.215
"P24","No",0.287,0.442,0.608,0.845,0.87,0.595
"P24","No sabe",0.1,0.128,0.228,0.076,0.089,0.19
"P25","Si",0.664,0.514,0.182,0.122,0.078,0.288
"P25","No",0.267,0.374,0.631,0.811,0.841,0.558
"P25","No sabe",0.069,0.112,0.187,0.067,0.081,0.154
"P26","A favor",0.904,0.808,0.412,0.106,0.059,0.463
"P26","En contra",0.065,0.075,0.243,0.781,0.894,0.3
"P26","No sabe",0.031,0.117,0.345,0.113,0.047,0.237
