"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.192,0.186,0.26,0.228
"P08","Casi siempre",0.331,0.38,0.366,0.329
"P08","Casi nunca",0.34,0.338,0.281,0.291
"P08","Nunca, pero esta es una excepción",0.137,0.096,0.093,0.152
"P09","Muy de acuerdo",0.579,0.262,0.046,0.076
"P09","De acuerdo",0.247,0.277,0.042,0.162
"P09","Ni de acuerdo ni en desacuerdo",0.109,0.266,0.179,0.356
"P09","En desacuerdo",0.039,0.095,0.312,0.285
"P09","Muy en desacuerdo",0.01,0.085,0.407,0.06
"P09","No sabe",0.016,0.015,0.014,0.061
"P10","De acuerdo",0.794,0.423,0.117,0.351
"P10","Ni de acuerdo ni en desacuerdo",0.126,0.298,0.174,0.176
"P10","En desacuerdo",0.039,0.172,0.579,0.143
"P10","No sabe",0.041,0.107,0.13,0.33
"P11","De acuerdo",0.832,0.626,0.22,0.401
"P11","Ni de acuerdo ni en desacuerdo",0.116,0.224,0.241,0.158
"P11","En desacuerdo",0.036,0.129,0.432,0.222
"P11","No sabe",0.016,0.021,0.107,0.219
"P12","De acuerdo",0.937,0.712,0.263,0.323
"P12","Ni de acuerdo ni en desacuerdo",0.04,0.192,0.247,0.204
"P12","En desacuerdo",0.016,0.07,0.367,0.271
"P12","No sabe",0.007,0.026,0.123,0.202
"P13","De acuerdo",0.801,0.431,0.109,0.296
"P13","Ni de acuerdo ni en desacuerdo",0.16,0.42,0.25,0.149
"P13","En desacuerdo",0.022,0.093,0.543,0.138
"P13","No sabe",0.017,0.056,0.098,0.417
"P14","De acuerdo",0.798,0.448,0.142,0.355
"P14","Ni de acuerdo ni en desacuerdo",0.155,0.406,0.208,0.096
"P14","En desacuerdo",0.035,0.095,0.594,0.093
"P14","No sabe",0.012,0.051,0.056,0.456
"P15","De acuerdo",0.724,0.478,0.245,0.452
"P15","Ni de acuerdo ni en desacuerdo",0.196,0.324,0.163,0.159
"P15","En desacuerdo",0.061,0.149,0.513,0.063
"P15","No sabe",0.019,0.049,0.079,0.326
"P16","De acuerdo",0.891,0.631,0.263,0.424
"P16","Ni de acuerdo ni en desacuerdo",0.07,0.172,0.175,0.164
"P16","En desacuerdo",0.025,0.128,0.476,0.037
"P16","No sabe",0.014,0.069,0.086,0.375
"P17","De acuerdo",0.738,0.289,0.05,0.231
"P17","Ni de acuerdo ni en desacuerdo",0.155,0.379,0.066,0.073
"P17","En desacuerdo",0.093,0.287,0.866,0.205
"P17","No sabe",0.014,0.045,0.018,0.491
"P18","De acuerdo",0.697,0.223,0.019,0.133
"P18","Ni de acuerdo ni en desacuerdo",0.198,0.482,0.08,0.129
"P18","En desacuerdo",0.075,0.237,0.859,0.131
"P18","No sabe",0.03,0.058,0.042,0.607
"P19","De acuerdo",0.888,0.394,0.048,0.166
"P19","Ni de acuerdo ni en desacuerdo",0.064,0.373,0.052,0.129
"P19","En desacuerdo",0.04,0.202,0.888,0.193
"P19","No sabe",0.008,0.031,0.012,0.512
"P20","De acuerdo",0.833,0.343,0.03,0.134
"P20","Ni de acuerdo ni en desacuerdo",0.113,0.475,0.09,0.21
"P20","En desacuerdo",0.036,0.132,0.851,0.134
"P20","No sabe",0.018,0.05,0.029,0.522
"P22","Si",0.472,0.402,0.548,0.279
"P22","No",0.362,0.266,0.145,0.24
"P22","No sabe",0.166,0.332,0.307,0.481
"P23","Si",0.652,0.309,0.102,0.2
"P23","No",0.268,0.543,0.781,0.618
"P23","No sabe",0.08,0.148,0.117,0.182
"P24","Si",0.575,0.204,0.053,0.096
"P24","No",0.318,0.626,0.832,0.67
"P24","No sabe",0.107,0.17,0.115,0.234
"P25","Si",0.638,0.255,0.079,0.144
"P25","No",0.292,0.58,0.821,0.572
"P25","No sabe",0.07,0.165,0.1,0.284
"P26","A favor",0.871,0.579,0.105,0.262
"P26","En contra",0.069,0.235,0.76,0.262
"P26","No sabe",0.06,0.186,0.135,0.476
