"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.224,0.202,0.248,0.221,0.215,0.232,0.238,0.228,0.181,0.276,0.274,0.065,0.45,0.453,0.051,0.222,0.267,0.183,6
"Buena",0.123,0.139,0.105,0.145,0.136,0.096,0.108,0.135,0.119,0.118,0.145,0.063,0.264,0.21,0.054,0.113,0.118,0.142,6
"Ni buena ni mala",0.106,0.128,0.083,0.048,0.14,0.1,0.093,0.142,0.108,0.076,0.136,0.072,0.071,0.136,0.081,0.102,0.127,0.092,6
"Mala",0.172,0.166,0.179,0.134,0.174,0.17,0.213,0.197,0.19,0.129,0.176,0.228,0.074,0.093,0.207,0.145,0.159,0.221,6
"Muy mala",0.354,0.349,0.358,0.427,0.32,0.383,0.312,0.284,0.368,0.392,0.231,0.56,0.139,0.083,0.598,0.4,0.293,0.352,6
"No sabe",0.021,0.016,0.027,0.025,0.015,0.019,0.036,0.014,0.034,0.009,0.038,0.012,0.002,0.025,0.009,0.018,0.036,0.01,6
"Positiva",0.347,0.341,0.353,0.366,0.351,0.328,0.346,0.363,0.3,0.394,0.419,0.128,0.714,0.663,0.105,0.335,0.385,0.325,4
"Neutra",0.106,0.128,0.083,0.048,0.14,0.1,0.093,0.142,0.108,0.076,0.136,0.072,0.071,0.136,0.081,0.102,0.127,0.092,4
"Negativa",0.526,0.515,0.537,0.561,0.494,0.553,0.525,0.481,0.558,0.521,0.407,0.788,0.213,0.176,0.805,0.545,0.452,0.573,4
"No sabe",0.021,0.016,0.027,0.025,0.015,0.019,0.036,0.014,0.034,0.009,0.038,0.012,0.002,0.025,0.009,0.018,0.036,0.01,4
