"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.083,0.087,0.078,0.074,0.065,0.098,0.123,0.134,0.071,0.042,0.164,0.033,0.05,0.134,0.043,0.093,0.067,0.084,6
"Buena",0.168,0.176,0.161,0.177,0.145,0.172,0.217,0.183,0.163,0.161,0.249,0.13,0.237,0.208,0.139,0.171,0.16,0.173,6
"Ni buena ni mala",0.299,0.298,0.299,0.328,0.289,0.263,0.338,0.278,0.323,0.284,0.317,0.246,0.341,0.298,0.278,0.287,0.322,0.291,6
"Mala",0.268,0.257,0.278,0.228,0.297,0.292,0.206,0.239,0.271,0.296,0.176,0.378,0.199,0.214,0.341,0.268,0.255,0.281,6
"Muy mala",0.153,0.16,0.147,0.142,0.185,0.151,0.084,0.124,0.144,0.202,0.07,0.205,0.132,0.121,0.184,0.164,0.149,0.142,6
"No sabe",0.029,0.022,0.037,0.051,0.019,0.024,0.032,0.042,0.028,0.015,0.024,0.008,0.041,0.025,0.015,0.017,0.047,0.029,6
"Positiva",0.251,0.263,0.239,0.251,0.21,0.27,0.34,0.317,0.234,0.203,0.413,0.163,0.287,0.342,0.182,0.264,0.227,0.257,4
"Neutra",0.299,0.298,0.299,0.328,0.289,0.263,0.338,0.278,0.323,0.284,0.317,0.246,0.341,0.298,0.278,0.287,0.322,0.291,4
"Negativa",0.421,0.417,0.425,0.37,0.482,0.443,0.29,0.363,0.415,0.498,0.246,0.583,0.331,0.335,0.525,0.432,0.404,0.423,4
"No sabe",0.029,0.022,0.037,0.051,0.019,0.024,0.032,0.042,0.028,0.015,0.024,0.008,0.041,0.025,0.015,0.017,0.047,0.029,4
