"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.08,0.09,0.07,0.103,0.074,0.063,0.1,0.092,0.081,0.07,0.082,0.114,0.023,0.055,0.115,0.077,0.094,0.071,6
"Buena",0.177,0.164,0.19,0.15,0.175,0.177,0.209,0.161,0.177,0.19,0.127,0.293,0.074,0.054,0.251,0.183,0.189,0.156,6
"Ni buena ni mala",0.396,0.403,0.389,0.405,0.397,0.417,0.352,0.376,0.422,0.38,0.406,0.41,0.36,0.354,0.459,0.389,0.346,0.456,6
"Mala",0.137,0.135,0.139,0.101,0.134,0.155,0.152,0.112,0.133,0.162,0.167,0.075,0.218,0.222,0.078,0.119,0.165,0.133,6
"Muy mala",0.168,0.165,0.17,0.176,0.185,0.152,0.14,0.225,0.123,0.177,0.172,0.071,0.308,0.264,0.075,0.182,0.154,0.162,6
"No sabe",0.042,0.043,0.042,0.065,0.035,0.036,0.047,0.034,0.064,0.021,0.046,0.037,0.017,0.051,0.022,0.05,0.052,0.022,6
"Positiva",0.257,0.254,0.26,0.253,0.249,0.24,0.309,0.253,0.258,0.26,0.209,0.407,0.097,0.109,0.366,0.26,0.283,0.227,4
"Neutra",0.396,0.403,0.389,0.405,0.397,0.417,0.352,0.376,0.422,0.38,0.406,0.41,0.36,0.354,0.459,0.389,0.346,0.456,4
"Negativa",0.305,0.3,0.309,0.277,0.319,0.307,0.292,0.337,0.256,0.339,0.339,0.146,0.526,0.486,0.153,0.301,0.319,0.295,4
"No sabe",0.042,0.043,0.042,0.065,0.035,0.036,0.047,0.034,0.064,0.021,0.046,0.037,0.017,0.051,0.022,0.05,0.052,0.022,4
