"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.109,0.105,0.114,0.091,0.095,0.122,0.146,0.123,0.113,0.093,0.216,0.063,0.031,0.143,0.072,0.101,0.098,0.132,6
"Buena",0.216,0.227,0.203,0.2,0.221,0.198,0.249,0.263,0.209,0.186,0.312,0.163,0.244,0.259,0.146,0.202,0.222,0.228,6
"Ni buena ni mala",0.277,0.254,0.302,0.302,0.243,0.296,0.304,0.268,0.273,0.288,0.282,0.224,0.33,0.285,0.287,0.255,0.309,0.274,6
"Mala",0.231,0.244,0.216,0.214,0.271,0.193,0.206,0.166,0.259,0.248,0.128,0.308,0.253,0.193,0.299,0.228,0.24,0.225,6
"Muy mala",0.155,0.157,0.153,0.169,0.161,0.18,0.084,0.17,0.129,0.177,0.062,0.235,0.14,0.109,0.182,0.2,0.131,0.118,6
"No sabe",0.012,0.013,0.012,0.024,0.009,0.011,0.011,0.01,0.017,0.008,0,0.007,0.002,0.011,0.014,0.014,0,0.023,6
"Positiva",0.325,0.332,0.317,0.291,0.316,0.32,0.395,0.386,0.322,0.279,0.528,0.226,0.275,0.402,0.218,0.303,0.32,0.36,4
"Neutra",0.277,0.254,0.302,0.302,0.243,0.296,0.304,0.268,0.273,0.288,0.282,0.224,0.33,0.285,0.287,0.255,0.309,0.274,4
"Negativa",0.386,0.401,0.369,0.383,0.432,0.373,0.29,0.336,0.388,0.425,0.19,0.543,0.393,0.302,0.481,0.428,0.371,0.343,4
"No sabe",0.012,0.013,0.012,0.024,0.009,0.011,0.011,0.01,0.017,0.008,0,0.007,0.002,0.011,0.014,0.014,0,0.023,4
