"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P27","De acuerdo",0.204,0.239,0.221,0.185,0.247,0.037,0.266,0.137,0.185,0.184
"P27","Ni de acuerdo ni en desacuerdo",0.238,0.24,0.198,0.25,0.234,0.189,0.25,0.177,0.182,0.24
"P27","En desacuerdo",0.239,0.276,0.164,0.347,0.216,0.441,0.331,0.247,0.286,0.188
"P27","Muy en desacuerdo",0.111,0.061,0.134,0.142,0.132,0.251,0.084,0.225,0.13,0.077
"P27","No sabe",0,0.001,0.013,0.005,0.003,0,0.006,0,0.004,0.111
"P28","Si",0.685,0.541,0.66,0.536,0.654,0.637,0.678,0.789,0.739,0.434
"P28","No",0.315,0.459,0.34,0.464,0.346,0.363,0.322,0.211,0.261,0.566
"P29","Muy de acuerdo",0.242,0.199,0.281,0.146,0.182,0.212,0.126,0.147,0.253,0.195
"P29","De acuerdo",0.26,0.271,0.111,0.153,0.186,0.086,0.193,0.28,0.202,0.195
"P29","Ni de acuerdo ni en desacuerdo",0.184,0.214,0.235,0.208,0.287,0.21,0.263,0.171,0.157,0.234
"P29","En desacuerdo",0.186,0.253,0.302,0.368,0.212,0.26,0.257,0.206,0.237,0.166
"P29","Muy en desacuerdo",0.092,0.052,0.047,0.105,0.121,0.169,0.139,0.172,0.139,0.084
"P29","No sabe",0.036,0.011,0.024,0.02,0.012,0.063,0.022,0.024,0.012,0.126
"P30","No estaba enterado",0.35,0.292,0.318,0.276,0.323,0.328,0.205,0.228,0.268,0.58
"P30","De acuerdo",0.346,0.401,0.358,0.244,0.321,0.155,0.358,0.394,0.386,0.164
"P30","En desacuerdo",0.235,0.244,0.277,0.362,0.26,0.392,0.402,0.281,0.282,0.203
"P30","No sabe",0.069,0.063,0.047,0.118,0.096,0.125,0.035,0.097,0.064,0.053
"P31","No tengo cable ni internet",0.277,0.259,0.176,0.203,0.179,0.109,0.15,0.093,0.2,0.371
"P31","Si tuve",0.502,0.554,0.543,0.576,0.514,0.633,0.655,0.687,0.527,0.427
"P31","No tuve",0.221,0.187,0.281,0.221,0.307,0.258,0.195,0.22,0.273,0.202
"P32","Reclamando directamente a la empresa",0.33,0.234,0.438,0.157,0.298,0.204,0.428,0.247,0.266,0.404
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.263,0.371,0.278,0.364,0.386,0.439,0.317,0.292,0.425,0.273
"P32","Nunca se pudo resolver",0.407,0.395,0.284,0.479,0.316,0.357,0.255,0.461,0.309,0.323
"P33","1-Excelente",0.706,0.233,0.028,0.061,0.024,0.034,0.006,0.003,0.022,0.075
"P33","2",0.092,0.604,0.256,0.074,0.009,0.024,0,0.019,0.007,0
"P33","3",0.056,0.036,0.381,0.117,0.027,0,0,0.005,0.002,0.011
"P33","4",0.012,0.036,0.09,0.327,0.074,0.026,0.02,0.058,0.002,0
"P33","5",0.061,0.076,0.133,0.216,0.673,0.231,0.211,0.128,0.018,0
"P33","6",0.006,0.003,0.015,0.142,0.101,0.413,0.144,0.073,0.016,0
"P33","7",0.003,0.005,0.005,0.017,0.016,0.134,0.378,0.156,0.029,0.005
"P33","8",0.007,0.004,0.008,0.025,0.019,0.057,0.228,0.484,0.109,0
"P33","9-Pésimo",0.018,0,0.041,0.005,0.042,0.081,0.013,0.074,0.789,0.017
"P33","No sabe",0.039,0.003,0.043,0.016,0.015,0,0,0,0.006,0.892
"P35","1-Excelente",0.722,0.191,0.11,0.076,0.022,0.029,0.018,0.005,0.009,0.031
"P35","2",0.096,0.597,0.03,0.051,0.034,0.005,0,0.01,0.022,0.005
"P35","3",0.04,0.099,0.657,0.082,0.045,0.05,0.053,0.02,0.004,0.077
"P35","4",0.05,0.03,0.101,0.519,0.138,0.063,0.115,0.01,0.002,0
"P35","5",0.057,0.038,0.045,0.199,0.542,0.293,0.125,0.078,0.033,0.024
"P35","6",0.002,0.006,0.047,0.035,0.081,0.402,0.13,0.158,0.028,0.003
"P35","7",0,0.003,0,0.013,0.024,0.064,0.327,0.194,0.028,0.014
"P35","8",0.002,0.009,0.004,0.002,0.053,0.057,0.092,0.266,0.071,0
"P35","9-Pésimo",0.019,0.024,0.006,0.021,0.033,0.023,0.124,0.244,0.793,0.044
"P35","No sabe",0.012,0.003,0,0.002,0.028,0.014,0.016,0.015,0.01,0.802
"P36","1-Excelente",0.612,0.125,0.084,0.037,0.028,0.031,0.075,0,0.012,0.084
"P36","2",0.149,0.559,0.248,0.176,0.048,0.005,0.103,0.03,0.009,0.005
"P36","3",0.06,0.177,0.391,0.05,0.094,0.02,0.029,0,0.003,0.022
