"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Peor",0.523,0.527,0.518,0.565,0.537,0.529,0.432,0.517,0.49,0.57,0.529,0.383,0.736,0.715,0.357,0.524,0.548,0.497
"Igual",0.262,0.28,0.242,0.242,0.242,0.258,0.341,0.299,0.282,0.207,0.271,0.301,0.217,0.184,0.338,0.251,0.282,0.256
"Mejor",0.146,0.141,0.151,0.129,0.133,0.17,0.156,0.129,0.152,0.15,0.14,0.219,0.004,0.055,0.228,0.145,0.119,0.174
"No sabe",0.069,0.052,0.089,0.064,0.088,0.043,0.071,0.055,0.076,0.073,0.06,0.097,0.043,0.046,0.077,0.08,0.051,0.073
