"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.102,0.097,0.108,0.126,0.075,0.118,0.121,0.143,0.094,0.079,0.136,0.031,0.142,0.2,0.027,0.107,0.104,0.093,6
"Buena",0.161,0.158,0.164,0.184,0.182,0.124,0.143,0.16,0.14,0.19,0.2,0.09,0.232,0.307,0.035,0.142,0.167,0.181,6
"Ni buena ni mala",0.194,0.205,0.181,0.157,0.224,0.16,0.209,0.234,0.197,0.156,0.237,0.095,0.325,0.288,0.113,0.191,0.227,0.164,6
"Mala",0.176,0.19,0.161,0.14,0.168,0.204,0.191,0.15,0.198,0.171,0.171,0.227,0.123,0.096,0.234,0.141,0.194,0.206,6
"Muy mala",0.355,0.342,0.37,0.388,0.342,0.375,0.322,0.299,0.356,0.399,0.243,0.549,0.178,0.102,0.579,0.406,0.295,0.347,6
"No sabe",0.012,0.008,0.016,0.005,0.009,0.019,0.014,0.014,0.015,0.005,0.013,0.008,0,0.007,0.012,0.013,0.013,0.009,6
"Positiva",0.263,0.255,0.272,0.31,0.257,0.242,0.264,0.303,0.234,0.269,0.336,0.121,0.374,0.507,0.062,0.249,0.271,0.274,4
"Neutra",0.194,0.205,0.181,0.157,0.224,0.16,0.209,0.234,0.197,0.156,0.237,0.095,0.325,0.288,0.113,0.191,0.227,0.164,4
"Negativa",0.531,0.532,0.531,0.528,0.51,0.579,0.513,0.449,0.554,0.57,0.414,0.776,0.301,0.198,0.813,0.547,0.489,0.553,4
"No sabe",0.012,0.008,0.016,0.005,0.009,0.019,0.014,0.014,0.015,0.005,0.013,0.008,0,0.007,0.012,0.013,0.013,0.009,4
