"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"No tengo cable ni internet",0.223,0.2,0.247,0.232,0.21,0.23,0.234,0.339,0.209,0.121,0.255,0.203,0.175,0.229,0.203,0.239,0.206,0.216
"Si tuve",0.536,0.542,0.53,0.548,0.547,0.541,0.487,0.478,0.543,0.588,0.498,0.545,0.555,0.525,0.553,0.553,0.514,0.538
"No tuve",0.241,0.258,0.223,0.22,0.243,0.229,0.279,0.183,0.248,0.291,0.247,0.252,0.27,0.246,0.244,0.208,0.28,0.246
