"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P13","Muy buena",0.065,0,0.002,0.005,0.047,0.088,0.044,0.144,0.017
"P13","Buena",0.118,0,0.176,0.126,0.095,0.102,0.279,0.145,0.081
"P13","Ni buena ni mala",0.247,0.092,0.2,0.271,0.275,0.403,0.237,0.338,0.34
"P13","Mala",0.044,0,0.369,0.285,0.403,0.245,0.29,0.216,0.27
"P13","Muy mala",0.526,0.908,0.219,0.246,0.151,0.125,0.118,0.144,0.068
"P13","No sabe",0,0,0.034,0.067,0.029,0.037,0.032,0.013,0.224
"P14","Muy buena",0.38,0.174,0.407,0.268,0.352,0.215,0.21,0.128,0.293
"P14","Buena",0.071,0,0.192,0.254,0.205,0.088,0.209,0.109,0.006
"P14","Ni buena ni mala",0.146,0.235,0.131,0.151,0.132,0.28,0.151,0.239,0.348
"P14","Mala",0.105,0,0.135,0.137,0.129,0.149,0.143,0.21,0.052
"P14","Muy mala",0.298,0.591,0.126,0.147,0.178,0.254,0.271,0.304,0.256
"P14","No sabe",0,0,0.009,0.043,0.004,0.014,0.016,0.01,0.045
"P19","Muy buena",0.125,0,0.081,0.037,0.069,0.067,0.074,0.152,0.074
"P19","Buena",0.046,0.176,0.109,0.159,0.143,0.19,0.245,0.182,0.138
"P19","Ni buena ni mala",0.149,0,0.3,0.384,0.328,0.338,0.3,0.348,0.445
"P19","Mala",0.182,0.672,0.267,0.224,0.286,0.238,0.234,0.147,0.102
"P19","Muy mala",0.404,0.152,0.223,0.185,0.154,0.129,0.121,0.149,0.17
"P19","No sabe",0.094,0,0.02,0.011,0.02,0.038,0.026,0.022,0.071
"P20","Gobierno nacional",0.064,0,0.09,0.087,0.23,0.289,0.292,0.405,0.22
"P20","Gobierno provincial",0.666,1,0.636,0.594,0.649,0.444,0.536,0.381,0.43
"P20","No sabe",0.27,0,0.274,0.319,0.121,0.267,0.172,0.214,0.35
"P21","El anterior gobierno de Arabela Carreras",0.318,0.583,0.18,0.329,0.276,0.415,0.391,0.358,0.098
"P21","El actual gobierno de Alberto Weretilneck",0.634,0.417,0.54,0.567,0.54,0.553,0.498,0.471,0.549
"P21","No sabe",0.048,0,0.28,0.104,0.184,0.032,0.111,0.171,0.353
"P22","El anterior gobierno de Alberto Fernández",0.133,0,0.308,0.558,0.257,0.272,0.316,0.262,0
"P22","El actual gobierno de Javier Milei",0.867,0,0.63,0.442,0.654,0.641,0.621,0.659,0.972
"P22","No sabe",0,0,0.062,0,0.089,0.087,0.063,0.079,0.028
"P23","Empleado sector publico",0.085,0.607,0.187,0.143,0.249,0.128,0.208,0.188,0.059
"P23","Empleado sector privado",0.339,0,0.18,0.277,0.24,0.228,0.302,0.166,0.091
"P23","Changas o trabajos eventuales",0.129,0,0.14,0.297,0.155,0.3,0.153,0.317,0.058
"P23","Estudiante",0.147,0,0.126,0.025,0.035,0.042,0.03,0.049,0.415
"P23","Amas de casa",0.048,0,0.095,0.01,0.055,0.056,0.062,0.096,0.071
"P23","Profesional o independiente",0.027,0.172,0.176,0.119,0.171,0.054,0.108,0.034,0.079
"P23","Comerciante, emprendedor o empresario",0.137,0.221,0.079,0.055,0.065,0.064,0.065,0.017,0.086
"P23","Trabajador informal",0,0,0,0.024,0.008,0.048,0.016,0.015,0
"P23","No tengo trabajo",0.088,0,0.017,0.05,0.022,0.08,0.056,0.118,0.141
"P24","Muy de acuerdo",0.177,0,0.098,0.177,0.18,0.158,0.2,0.25,0.037
"P24","De acuerdo",0.112,0,0.122,0.11,0.199,0.25,0.271,0.178,0.111
"P24","Ni de acuerdo ni en desacuerdo",0.472,0.172,0.458,0.41,0.396,0.309,0.293,0.291,0.382
"P24","En desacuerdo",0.078,0.682,0.203,0.169,0.111,0.115,0.141,0.154,0.074
"P24","Muy en desacuerdo",0.094,0.146,0.052,0.066,0.08,0.105,0.064,0.072,0.043
"P24","No sabe",0.067,0,0.067,0.068,0.034,0.063,0.031,0.055,0.353
"P25","Muy de acuerdo",0.281,0.176,0.223,0.148,0.149,0.069,0.093,0.124,0.173
"P25","De acuerdo",0.114,0.613,0.213,0.185,0.228,0.143,0.18,0.059,0.058
"P25","Ni de acuerdo ni en desacuerdo",0.213,0,0.234,0.281,0.27,0.166,0.208,0.175,0.148
"P25","En desacuerdo",0.208,0.211,0.235,0.291,0.235,0.508,0.376,0.463,0.434
"P25","Muy en desacuerdo",0.184,0,0.085,0.04,0.107,0.089,0.133,0.164,0.111
"P25","No sabe",0,0,0.01,0.055,0.011,0.025,0.01,0.015,0.076
"P26","Si",0.861,1,0.787,0.746,0.714,0.498,0.627,0.508,0.588
"P26","No",0.139,0,0.213,0.254,0.286,0.502,0.373,0.492,0.412
"P27","Muy de acuerdo",0.39,0.169,0.243,0.205,0.211,0.11,0.155,0.156,0.044
"P27","De acuerdo",0.151,0.35,0.153,0.2,0.264,0.223,0.209,0.143,0.197
"P27","Ni de acuerdo ni en desacuerdo",0.167,0.481,0.232,0.3,0.182,0.267,0.259,0.203,0.131
"P27","En desacuerdo",0.139,0,0.213,0.212,0.208,0.285,0.263,0.307,0.446
"P27","Muy en desacuerdo",0.153,0,0.15,0.079,0.122,0.095,0.102,0.162,0.158
