"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Florencio Randazzo",0.291,0.315,0.269,0.249,0.321,0.308,0.26,0.244,0.302,0.337,0.312,0.261,0.276,0.288,0.297,0.3,0.286
"Cristian Ritondo",0.239,0.26,0.221,0.232,0.192,0.237,0.369,0.328,0.2,0.184,0.165,0.355,0.247,0.211,0.296,0.197,0.293
"Algun diputado del bloque de Milei",0.195,0.211,0.18,0.241,0.233,0.16,0.077,0.175,0.204,0.206,0.151,0.211,0.35,0.198,0.188,0.106,0.281
"No sabe",0.275,0.214,0.33,0.278,0.254,0.295,0.294,0.253,0.294,0.273,0.372,0.173,0.127,0.303,0.219,0.397,0.14
