"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.48,0.512,0.452,0.495,0.456,0.476,0.522,0.452,0.484,0.513,0.24,0.757,0.469,0.468,0.505,0.209,0.768
"No",0.445,0.406,0.48,0.426,0.447,0.47,0.434,0.425,0.455,0.457,0.672,0.19,0.468,0.451,0.433,0.734,0.151
"No sabe",0.075,0.082,0.068,0.079,0.097,0.054,0.044,0.123,0.061,0.03,0.088,0.053,0.063,0.081,0.062,0.057,0.081
