"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.427,0.485,0.376,0.537,0.379,0.371,0.443,0.383,0.439,0.472,0.176,0.748,0.454,0.396,0.492,0.099,0.769
"No",0.489,0.443,0.529,0.42,0.509,0.54,0.481,0.511,0.477,0.476,0.751,0.16,0.435,0.523,0.418,0.845,0.129
"No sabe",0.084,0.072,0.095,0.043,0.112,0.089,0.076,0.106,0.084,0.052,0.073,0.092,0.111,0.081,0.09,0.056,0.102
