"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.321,0.372,0.277,0.345,0.272,0.328,0.392,0.336,0.307,0.325,0.158,0.552,0.333,0.323,0.319,0.103,0.553
"No",0.459,0.447,0.469,0.422,0.492,0.484,0.406,0.427,0.476,0.477,0.676,0.224,0.302,0.49,0.396,0.731,0.187
"No sabe",0.22,0.181,0.254,0.233,0.236,0.188,0.202,0.237,0.217,0.198,0.166,0.224,0.365,0.187,0.285,0.166,0.26
