"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.488,0.473,0.501,0.549,0.493,0.472,0.405,0.416,0.515,0.54,0.532,0.421,0.507,0.496,0.471,0.602,0.388
"No",0.397,0.419,0.377,0.339,0.412,0.414,0.425,0.467,0.379,0.33,0.352,0.474,0.306,0.384,0.424,0.299,0.499
"No sabe",0.115,0.108,0.122,0.112,0.095,0.114,0.17,0.117,0.106,0.13,0.116,0.105,0.187,0.12,0.105,0.099,0.113
