"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Si",0.518,0.603,0.441,0.593,0.524,0.475,0.449,0.532,0.508,0.516,0.333,0.734,0.634,0.481,0.59,0.275,0.769
"No",0.378,0.324,0.427,0.294,0.397,0.41,0.413,0.323,0.408,0.401,0.56,0.174,0.29,0.408,0.319,0.63,0.132
"No sabe",0.104,0.073,0.132,0.113,0.079,0.115,0.138,0.145,0.084,0.083,0.107,0.092,0.076,0.111,0.091,0.095,0.099
