"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Milei"
"Javier Milei",0.439,0.499,0.386,0.511,0.406,0.432,0.415,0.433,0.445,0.44,0.219,0.693,0.414,0.417,0.485,0.12,0.767
"Mauricio Macri",0.325,0.337,0.314,0.274,0.338,0.388,0.288,0.269,0.336,0.386,0.521,0.119,0.357,0.335,0.304,0.589,0.067
"Ambos",0.135,0.103,0.164,0.104,0.145,0.138,0.157,0.141,0.132,0.133,0.136,0.136,0.216,0.129,0.148,0.146,0.123
"No sabe",0.101,0.061,0.136,0.111,0.111,0.042,0.14,0.157,0.087,0.041,0.124,0.052,0.013,0.119,0.063,0.145,0.043
